start,end,time_in_bed,time_in_bed_min
2014-12-29 22:57:49,2014-12-30 07:30:13,8:32,512.0
2014-12-30 21:17:50,2014-12-30 21:33:54,0:16,16.0
2014-12-30 22:42:49,2014-12-31 07:13:31,8:30,510.0
2014-12-31 22:31:01,2015-01-01 06:03:01,7:32,452.0
2015-01-01 22:12:10,2015-01-02 04:56:35,6:44,404.0
2015-01-03 00:34:57,2015-01-03 07:47:23,7:12,432.0
2015-01-04 00:23:06,2015-01-04 07:37:09,7:14,434.0
2015-01-04 21:34:44,2015-01-05 04:53:34,7:18,438.0
2015-01-05 21:32:25,2015-01-06 05:00:03,7:27,447.0
2015-01-06 21:24:56,2015-01-07 05:00:02,7:35,455.0
2015-01-07 20:59:58,2015-01-08 06:19:20,9:19,559.0
2015-01-08 22:58:18,2015-01-09 06:14:58,7:16,436.0
2015-01-09 22:27:58,2015-01-10 07:29:00,9:01,541.0
2015-01-10 22:38:24,2015-01-11 07:28:59,8:50,530.0
2015-01-11 22:12:07,2015-01-12 06:20:29,8:08,488.0
2015-01-12 21:01:46,2015-01-13 06:13:23,9:11,551.0
2015-01-13 22:14:29,2015-01-14 06:20:33,8:06,486.0
2015-01-14 21:48:26,2015-01-15 05:02:05,7:13,433.0
2015-01-15 21:32:07,2015-01-16 04:54:42,7:22,442.0
2015-01-17 02:11:57,2015-01-17 09:03:37,6:51,411.0
2015-01-17 23:55:16,2015-01-18 07:47:15,7:51,471.0
2015-01-18 21:51:53,2015-01-19 05:04:18,7:12,432.0
2015-01-19 05:06:38,2015-01-19 06:20:29,1:13,73.0
2015-01-19 21:45:19,2015-01-20 05:45:37,8:00,480.0
2015-01-20 21:42:37,2015-01-21 05:45:22,8:02,482.0
2015-01-21 22:34:35,2015-01-22 06:17:22,7:42,462.0
2015-01-25 20:55:02,2015-01-26 06:14:59,9:19,559.0
2015-01-26 22:36:21,2015-01-27 06:11:49,7:35,455.0
2015-01-28 21:43:16,2015-01-29 05:20:42,7:37,457.0
2015-01-29 22:23:40,2015-01-30 05:29:11,7:05,425.0
